ID,Condition,Age,Gender,L3_Attempts,L3_Score,L3_Intrusions,Final_Attempts,Final_Score,Final_Instrusions,L3_Answers,Final_Answers
1,1,32,Male,11,9,2,16,12,4,"avanzar, talla, competir, conjunto, cruza, inicio, siesta,  ","inicio, avanzar, siesta, cristiano, inglesa, comedia, dieta, derrota, conflico, talla, cruzado, griego, enero, editor, oriente, morrirse, "
2,2,19,Female,11,3,8,17,16,1,cristiano negar rendirse iglesia editor trauma confesar conjunto talla oriente no,confesar cristiano morir rendrse trauma editor nocturno rabia talla conjunto oriente avance quite asumir bondad curar negar
3,2,26,Male,9,1,8,12,8,4,bondad ejemplo furia rabia delta griego pasaje quite cristiano,delta griego cristano bondad quite margen iris resistir ejemplo derecha compartir ojo
4,2,21,Male,5,2,3,17,7,10,conversar consuelo sensores iris dejar,conversar bondad malicia quite bondad cristiano dejar consuelo sensores ire vera dejar maldad religioso quitar responsable cansado
5,1,18,Male,5,5,0,12,12,0,conjuno inicio avanzar sensores salario,avanzar conjunto inglesa griego cristiano patria sensores inicio salario derrota bondad quite
6,1,23,Male,8,7,1,16,14,2,inicio avanzar siesta ritual salario sensores dieta director,competir inglesa delta ritual sensores salario dieta director enero siesta derrota inicio avance vera quite queja
7,2,18,Male,4,2,2,7,5,2,consuelo salario patria griego,griego cristiano consuelo salario quite descanso problema
8,1,23,Male,9,7,2,17,12,5,comenzar avanzar siesta ritual talla cruzada tumor sensor resistir,quite tumor mecanico avance resistir cruzada inglesa talla ritual iris siesta sensor comedia griega ira furia comenzar
9,2,18,Male,3,2,1,12,11,1,rabia cruzado ritual,cruzado oriente cristiano ritual rabia nocturno girar transmisores derrota morirse vengarse bondad
10,1,25,Female,9,8,1,16,14,2,avanzar inicio talla conjunto  tumor sensores siesta ritual rendirse,siesta tumor sensores enero griego inglesa oriente cristiano bondad avanzar inicio margen rendirse quite aire ejemplo
11,2,19,Female,4,2,2,7,2,5,"siesta,  sentirse,  afecto, cruzada","siesta,  furia, conford,  sentirse,  mirar, girar,  moverse, "
12,1,32,Male,5,4,1,10,9,1,impedir conjunto salario dieta evitar,oriente reto griego evitar impedir dieta quite conflicto inglesa derrota
13,2,40,Male,7,2,5,14,8,6,enero consuelo conflicto deseo avance siesta sueldo,consuelo actividad recuerdo siesta sueldo talla rabia conflicto quita enero avance cristiano cura sueldo
14,1,23,Female,7,5,2,16,16,0,"cortes, evitar, tumor, dieta, sensores, inicio, siesta, cruzado, ritual, conjunto, origen","bondad, furia, conversar, sensores, evitar, tumor, origen, siesta, ritual, cruzado, sensores, cristiano, oriente, competir, morir, afecto, "
15,1,20,Male,6,5,1,12,11,1,avanzar comienzo tumor cruzado impedir siesta,siesta tumor cruzado delta griego empezar avanzar morirse derrota curar inglesa impedir
16,1,22,Male,6,6,0,8,8,0,tumor sensores dieta avanzar salario inicio,cristiano tunor salario enero inicio reto avanzar quite
17,2,21,Male,6,3,3,8,5,3,avanzar inicio sensor presion cesta tumor,cristiano derrota avanzar passar cesta tumor griego perder
18,2,40,Male,8,0,8,7,6,1,"cristiano, griego,  miseria, quite, bondad, comedia, ingles, derrota, ","crisitano, griego, bondad, derrota, quite, comedia, muerte, "
19,2,23,Male,12,4,8,26,15,11,"bondad, descenso,  derrota, ritual, cruzado , cortes, asumir, esfuerzo, medir, delta, competir, ","delta, furia, ventaja, ascensor, medir, inglesa, reparar, comedia, griego, cortes, ritual, cruzado,, siesta, frustracion, furia, rendirse, cristiano, ascensor, competir, temporizador, girar, curar, medir, esfuerzo, bondad, ventaja, "
20,2,18,Female,1,1,0,10,8,2,dieta,cristiano volment alcanze dieta editor negar inglesa iris derrota rendirse
21,2,18,Male,6,4,2,15,11,4,griego quitarse conjunto dieta sensores conflic,quitarse conjunto griego delta cristiano oriente conflicto bondad reto superar vengarse victoria vencer editor culpar
22,1,19,Male,11,9,2,20,15,5,dieta avanzar siesta inicio ritual talla prenda quitar resistir salario  consuelo,dirigirse imicio siesta comedia griega ritual talla prenda quitarse oriente volumen girarse derrota iglesia delta furia salario consuelo dieta resistirse
23,2,34,Female,9,0,9,9,8,1,enero reto griego patria conversar inglesa ascenso morirse vera,reto enero vera morirse inglesa griego ascender conversar patria
24,1,18,Male,7,4,3,12,8,4,avanzar conjuntor quitar pasaje impedir sensor corte,derrota bondad competir oriente quite avanzar corte impedir sensor iris ingles segar
25,1,22,Male,6,4,2,8,4,4,avanzar tumor resistir siesta quitar ropa,avanzar seguir tumor patria siesta quitar zapatos dormir
26,1,18,Male,8,8,0,14,14,0,cruzado quitarse avanzar inicio talla conjunto dieta tumor,griego tumor comedia trauma dieta cruzado inicio avanzar quitarse cojunto cristiano talla vera morirse
27,2,17,Female,12,3,9,13,9,4,delta cristiano griego tumor revisar relajar oriente nocturno enero avisar nutricion sensores,delta cristiano oriente griego nutricion sensores nocturno enero acceso derrota cancer tumor victoria
28,1,18,Male,6,5,1,10,10,0,siesta tumor dieta sensores quitarse avance,derrota competir avance avanzar tumor sensores siesta quite quitarse rabia
29,2,28,Male,5,4,1,13,13,0,dieta tumor avance inicio ritual,dieta inicio avance ritual morirse cristiano oriente vera delta tumor trauma rabia afecto
30,2,33,Female,4,2,2,14,11,3,avanzar inicio cruzar reto,editor nocturno miseria furia patria rabia avanzar inicio conversar considerar velar comedia cruzar salario
31,2,20,Female,7,2,5,12,11,1,enero morirse conversar conflicto tumor dieta cristiano,dieta tumor enero conflicto curar morirse conversar revisar ausencia cristiano inglesa griego
32,1,28,Male,5,5,0,20,19,1,tumor sensores avanzar consuelo salario,delta furia rabia enero conversar reparar negar iglesia conflicto sensores tumor salario avanzar avance reto bondad vengarse iris quite consuelo
33,2,19,Male,11,2,9,11,10,1,cristiano reto venganza derrota avanzar dieta volumen inglesa griego nocturno asun,cristiano avanzar derrota victoria reto bondad inglesa griego dieta sensores confesar
34,2,21,Male,6,6,0,7,5,2,consuelo salario sensores conjunto talla ritual,ascenso sensores talla cura ruptura quite conjunto
35,1,20,Male,7,7,0,15,12,3,inicio avanzar cruzado dieta sensores pasaje impedir,inicio avanzar pasaje sensores cristiano competir furia llave reparar asistir morir girar miseria comedia griego
36,2,18,Male,9,1,8,12,11,1,consuelo vera afecto quite venganza patria nocturno miseria bondad,bondad patria consuelo nocturno coja quite vengarse miseria ingles comedia derrota reto
37,1,20,Male,6,5,1,12,9,3,avanzar inicio truco sensores dieta siesta,derrota truco trauma siesta oriente origen avanzar inicio enero victoria sensores dieta
38,1,27,Male,8,8,0,15,14,1,siesta tumor dieta sensores resistir salario avanzar inicio,siesta inglesa griego resistir salario tumor sensores descender avanzar morirse derrota coja vera quite negar
39,1,23,Male,7,6,1,15,11,4,resistir sensores avanzar inicio siesta talla vera,iglesia cristiano comedia grigeo ingles conflicto resistir furia siesta avanzar inicio vera talla llave conflicto
40,1,18,Male,10,9,1,15,13,2,"avanzar, inicio, siesta, corte, quitarse, cruzado, salario, consuelo, confesarse, cortes, ","cortes, avnzr, inicio, siesta, cruzado, quitarse, trauma, consuelo, salario, inglesa, griego, vera, reparar, arreglar, confesarse, "
41,2,34,Male,2,1,1,14,11,3,"sensores,  alegria, ","cristiano,  margen,  quite,  avance,  trauma,  editor,  rabia,  comedia,  griego,  inglesa,  sensores,  alegria,  victoria,  triunfo,  "
42,1,20,Female,9,9,0,20,19,1,"inicio, avanzar, salario, resistir, talla, dieta, sensores, cruzado, siesta, ","cristiano, morirse, oriente, nocturno, inglesa, salario, resistir, delta, reparar, ascender, vera, editor, comedia, griego, cruzado, inicio, siesta, furia, coja, sensores, "
43,2,34,Female,9,2,7,11,9,2,morirse bondad afecto progresar salario cristiano reto conjunto discutir,bondad afecto conjunto cristiano morirse progresar reto discutir tumor avanzar salario
44,2,18,Male,9,3,6,11,6,5,inicio recorrido vengarse morirse tumor enfermedad coja paisaje ambiente,cristiano morirse tumor paisaje ambiente enfermedad coja ciudad transporte arbol inic
45,1,35,Male,6,4,2,9,6,3,pasaje tumor dieta conjunto creencia viaje,tumor dieta conjunto viaje venganza morir avanzar patria pasaje
46,2,32,Male,12,4,8,19,12,7,quitarse talla cruzado rendirse morir tumor cristiano griego conflicto oriente iniciar traicion,cristiano traicion muerte tumor rendirse iniciar cruzados dieta quiet talla perder morir vencer griego inglesa conflicto oriente durar patria
