Participant ID,1,2,3,5,6,8,9,10,12,14,16,17,18,19,20,21,24,25,28,29,30,31,32,33,34,36,37,39,40,41,42,43,44,45
Bad Channels,"P8, O2","T8, FC5","O1, FC5, AF3, AF4","AF4, O1, F7","P7, FC6","FC6, AF3, P7, F8","AF3, T7, F8, O1, FC6",FC6,"AF3, P7, FC5","P7, O2","AF4, FC5","T7, T8",,"FC6, F7",Lost data,"FC6, P7, F4","F4, F7, T7, P7, F3","P8, FC6, F3","O1, AF3","AF3, FC5","FC5, F7, F8, P7","T8, FC6","FC6, F7","F3, F7, O1, P8","P7, P8, F8",T7,"AF4, AF3, F4","AF4, T7","P7, FC5, T7","FC5, F4, P8, T8, O1","F4, O2, P7, FC5","P8, P7, FC6, FC5, T7, AF3","T8, F4","FC6, T7, O2"
L3 W1 ,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
L3 W2,,,x,,x,x,,x,,,"P7, T7",x,,,x,x,,,,,x,,x,x,,x,,,x,,,,,
L3 W3,,,x,,x,,,,,,T7,F3,x,x,x,x,,,,"T7, F3",x,x,,,,x,,,x,,x,,,
L3 W4,,,,,,,F4,,,,,,,,x,,,,,,x,,,,,,x,,,,,,,
L3 W5,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
L3 W6,,,x,,,,x,,,,P7,,,,x,x,,,,,,,,,x,x,,,,x,,,,
L3 W7,,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,,,,x,,x,,
L3 W8,,,x,,,,,x,,,x,F7,,x,x,T7,,,,,,,,,,,,,,x,,,,
L3 W9,,,x,x,,FC5,,,,,,,,,x,,,,,,,,,,,,x,,,x,x,,x,
L3 W10,,x,x,,,,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,
L3 W11,,,x,,,,,,T8,x,,x,,,x,,x,x,,,,,,,,x,,,,,,,,
L3 W12,x,x,x,,,,x,,,x,,x,,,x,,,,,AF3,,,,,,,,,,x,x,,,
L3 W13,,,x,,,x,x,,,x,x,,,x,x,x,,,,AF3,,,,,x,,,,,,,,,
L3 W14,,x,,x,,x,,x,,x,x,,x,,x,,,,,,,,,,x,,,,x,,x,O1,,
L3 W15,x,,,x,,x,x,x,x,,,x,,,x,x,x,,,x,,,,x,x,x,,,x,,,,F3,
L3 W16,x,,,,,F4,,,,,,x,,,x,x,,,,,O1,,,x,,x,,,x,,,,F3,
L3 W17,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,F4,,
L3 W18,,x,x,,,x,F3,,,,x,,,,x,,,,,,,,,,,,,,,,x,F4,,
L3 W19,,x,x,x,,x,,,O1,x,x,,x,x,x,x,,,,,x,x,,x,,x,,,,x,x,,,
L3 W20 ,,,,,,,,,,x,,x,,,x,,,,,,,,x,,,x,,F3,,x,,,x,
