ID,Flagged,Bad_Channels,L1_good_words,L3_good_words,L1_count,L3_Count,Bad_channel_Count
1,,"P8, O2","1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 17, 18, 19","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20",15,17,2
2,,"FC5, T8","1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20","1, 2, 3, 4, 5, 6, 7, 8, 9, 11,13, 15, 16, 17, 20",18,15,2
3,1,"AF3, AF4, FC5, O1","1, 4, 5, 6, 9, 10, 11, 14, 15, 16","1, 4, 5, 7, 14, 15, 16, 17, 20",10,9,4
5,,"AF4, F7, O1","2, 3, 5, 6, 7, 9, 10, 11, 16, 17, 18, 19, 20","1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 16, 17, 18, 20",13,16,3
6,,"FC6, P7","1, 2, 3, 4, 5, 6, 7, 12, 13, 16, 18, 19, 20","1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",13,18,2
8,,"AF3, F8, FC6, P7","1, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 20","1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 17, 20",14,12,4
9,1,"AF3, F8, FC6, T7, O1","6, 7, 9, 11, 13, 14, 15, 16, 17","1, 2, 3, 5, 7, 8, 9, 10, 11, 14, 16, 17, 19, 20",9,14,5
10,,FC6,"1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20","1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20",17,16,1
12,,"AF3, FC5, P7","1, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20",15,17,3
14,,"P7, O2","1, 3, 4, 5, 8, 9, 10, 13, 14, 15, 16, 18, 19, 20","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 16, 17, 20",14,14,2
16,,"AF4, FC5, T7, P7","1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 18, 19, 20","1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 15, 16, 20",16,14,4
17,,"T7, T8","2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","1, 4, 5, 6, 7, 9, 10, 13, 14, 17, 18, 19",17,12,2
18,,,"3, 6, 7, 8, 9, 12, 13, 16, 17, 18","1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 18, 20",10,15,1
