Year,List,Event,Duration,L1_End_Time,Running_Time
2015,L1,Words_Start,,0:01:3300,93.0
2015,L1,Word1_pre,0:00:012,0:01:3420,94.2
2015,L1,Word1,0:00:020,0:01:3620,96.2
2015,L1,Word2_pre,0:00:012,0:01:3740,97.4
2015,L1,Word2,0:00:020,0:01:3940,99.4
2015,L1,Word3_pre,0:00:012,0:01:4060,100.6
2015,L1,Word3,0:00:020,0:01:4260,102.6
2015,L1,Word4_pre,0:00:012,0:01:4380,103.8
2015,L1,Word4,0:00:020,0:01:4580,105.8
2015,L1,Word5_pre,0:00:012,0:01:4700,107.0
2015,L1,Word5,0:00:020,0:01:4900,109.0
2015,L1,Word6_pre,0:00:012,0:01:5020,110.2
2015,L1,Word6,0:00:020,0:01:5220,112.2
2015,L1,Word7_pre,0:00:012,0:01:5340,113.4
2015,L1,Word7,0:00:020,0:01:5540,115.4
2015,L1,Word8_pre,0:00:012,0:01:5660,116.6
2015,L1,Word8,0:00:020,0:01:5860,118.6
2015,L1,Word9_pre,0:00:012,0:01:5980,119.8
2015,L1,Word9,0:00:020,0:02:0180,121.8
2015,L1,Word10_pre,0:00:012,0:02:0300,123.0
2015,L1,Word10,0:00:020,0:02:0500,125.0
2015,L1,Word11_pre,0:00:012,0:02:0620,126.2
2015,L1,Word11,0:00:020,0:02:0820,128.2
2015,L1,Word12_pre,0:00:012,0:02:0940,129.4
2015,L1,Word12,0:00:020,0:02:1140,131.4
2015,L1,Word13_pre,0:00:012,0:02:1260,132.6
2015,L1,Word13,0:00:020,0:02:1460,134.6
2015,L1,Word14_pre,0:00:012,0:02:1580,135.8
2015,L1,Word14,0:00:020,0:02:1780,137.8
2015,L1,Word15_pre,0:00:012,0:02:1900,139.0
2015,L1,Word15,0:00:020,0:02:2100,141.0
2015,L1,Word16_pre,0:00:012,0:02:2220,142.2
2015,L1,Word16,0:00:020,0:02:2420,144.2
2015,L1,Word17_pre,0:00:012,0:02:2540,145.4
2015,L1,Word17,0:00:020,0:02:2740,147.4
2015,L1,Word18_pre,0:00:012,0:02:2860,148.6
2015,L1,Word18,0:00:020,0:02:3060,150.6
2015,L1,Word19_pre,0:00:012,0:02:3180,151.8
2015,L1,Word19,0:00:020,0:02:3380,153.8
2015,L1,Word20_pre,0:00:012,0:02:3500,155.0
2015,L1,Word20,0:00:020,0:02:3700,157.0
2015,L3,Words_Start,,00:07:07,427
2015,L3,Word1_pre,0:00:012,00:07:08,428.2
2015,L3,Word1,0:00:020,00:07:10,430.2
2015,L3,Word2_pre,0:00:012,00:07:11,431.4
