Time (s),AF3,AF4,F3,F4,F7,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,Sampling Rate
0.0000000000e+000,4.2075499553e+000,3.9923163733e+000,3.1859468150e+000,3.8598945651e+000,4.0349873737e+000,4.6900283985e+000,3.2840573373e+000,3.8786005668e+000,3.5599480870e+000,4.0094403377e+000,1.5000025650e+000,3.6278880872e+000,2.9919704966e+000,3.7313222368e+000,1
9.3750000000e-002,4.1942782050e+000,3.9622847121e+000,3.1069331435e+000,3.9804278223e+000,4.0337817413e+000,4.5866315012e+000,3.2104142682e+000,3.9034982747e+000,3.3392084015e+000,3.9529970211e+000,1.5548547485e+000,3.4305776441e+000,3.0115945996e+000,3.6439076714e+000,
1.8750000000e-001,4.0744825378e+000,3.9135537863e+000,3.1036666855e+000,4.0570405747e+000,3.9251057971e+000,4.5160493779e+000,3.1134423119e+000,3.9272746964e+000,3.4093119359e+000,4.0009287154e+000,1.4703744606e+000,3.4468409987e+000,2.8806492547e+000,3.6447178771e+000,
2.8125000000e-001,4.0934518492e+000,3.9972420271e+000,3.1772049072e+000,4.0605738048e+000,3.9935155615e+000,4.5419976290e+000,3.0945135989e+000,3.9403759724e+000,3.4022147829e+000,4.0397673093e+000,1.5159705468e+000,3.5276266078e+000,2.9680467529e+000,3.7344079133e+000,
3.7500000000e-001,4.0852294072e+000,4.0433968846e+000,3.2280309827e+000,4.1306597504e+000,4.0252495706e+000,4.5558172477e+000,3.1539611619e+000,3.9912028738e+000,3.3570753060e+000,4.0538520120e+000,1.5160125186e+000,3.6415319628e+000,2.9649345299e+000,3.7549013653e+000,
4.6875000000e-001,4.0424771920e+000,4.0107573377e+000,3.2611556329e+000,4.1965407297e+000,3.9268699993e+000,4.5071106166e+000,3.2574129693e+000,3.9616828651e+000,3.3658725970e+000,4.1126465354e+000,1.6914467693e+000,3.6973084528e+000,3.0988192480e+000,3.7779116071e+000,
5.6250000000e-001,4.0155610040e+000,4.0422966972e+000,3.2490384768e+000,4.2619752777e+000,3.9669014719e+000,4.5395316480e+000,3.1620492216e+000,4.0080494651e+000,3.3879945673e+000,4.0156234389e+000,1.7399866789e+000,3.6272445561e+000,3.1207291498e+000,3.7850895131e+000,
6.5625000000e-001,3.8465539134e+000,3.9818362738e+000,3.2335047373e+000,4.2434945175e+000,3.9642707346e+000,4.4450834466e+000,3.0936929299e+000,4.1023498130e+000,3.3879458545e+000,3.9094169456e+000,1.7028258570e+000,3.5303896130e+000,3.0545318270e+000,3.7503472996e+000,
7.5000000000e-001,3.5490172229e+000,3.8237061121e+000,3.2662422997e+000,4.1398704140e+000,3.7936228033e+000,4.2314081153e+000,3.0392628276e+000,4.1267594495e+000,3.3316330892e+000,3.9956416763e+000,1.7279383192e+000,3.6934921616e+000,3.2274170664e+000,3.9360550722e+000,
8.4375000000e-001,3.5059501633e+000,3.7445352710e+000,3.2015599392e+000,4.1197268210e+000,3.8746646822e+000,4.2104098203e+000,3.1299523794e+000,4.1360638175e+000,3.2673623018e+000,4.0185646202e+000,1.6375974105e+000,3.6463595587e+000,3.1361940761e+000,3.8418347393e+000,
